step,ax,ay,aloss,sx,sy,sloss
94,-1.37467,1.89562,5.64254,-1.38245,1.91578,5.67818
95,-1.37357,1.89317,5.63803,-1.3816,1.91371,5.67441
96,-1.37249,1.89069,5.63355,-1.38069,1.91172,5.67062
97,-1.37144,1.88815,5.62906,-1.37973,1.90976,5.66685
98,-1.37044,1.88554,5.62451,-1.37876,1.90779,5.66315
99,-1.36948,1.88286,5.61989,-1.37784,1.90576,5.65948
100,-1.36857,1.88012,5.61521,-1.37701,1.90362,5.65575
101,-1.36768,1.87734,5.61051,-1.37629,1.90137,5.65194
102,-1.36679,1.87452,5.6058,-1.37563,1.89905,5.6481
103,-1.3659,1.8717,5.60111,-1.37498,1.8967,5.64429
104,-1.36499,1.86888,5.5964,-1.37429,1.89437,5.64051
105,-1.36404,1.86608,5.59168,-1.37354,1.89209,5.63669
106,-1.36304,1.86331,5.58691,-1.37275,1.88985,5.63288
107,-1.36201,1.86056,5.5821,-1.37188,1.88768,5.62899
108,-1.36094,1.85783,5.57726,-1.37095,1.88556,5.62507
109,-1.35985,1.85511,5.57238,-1.37,1.88343,5.62116
110,-1.35874,1.85238,5.5675,-1.36907,1.88126,5.61727
111,-1.35763,1.84963,5.56261,-1.36823,1.87901,5.61336
112,-1.35654,1.84685,5.5577,-1.36744,1.87671,5.60942
113,-1.35546,1.84403,5.55277,-1.36667,1.87436,5.60544
114,-1.3544,1.84118,5.5478,-1.36591,1.87198,5.60147
115,-1.35337,1.83828,5.5428,-1.36513,1.86961,5.59747
116,-1.35234,1.83536,5.53777,-1.36435,1.86725,5.59351
117,-1.35132,1.83241,5.53273,-1.3635,1.86494,5.58951
118,-1.35029,1.82945,5.52766,-1.3626,1.86267,5.58546
119,-1.34925,1.82648,5.52258,-1.36165,1.86041,5.58139
120,-1.34819,1.82352,5.51748,-1.36071,1.85814,5.57732
121,-1.34711,1.82056,5.51235,-1.35982,1.85582,5.57326
122,-1.346,1.81761,5.50719,-1.35896,1.85347,5.56917
123,-1.34488,1.81466,5.50201,-1.35812,1.85107,5.56506
124,-1.34374,1.81171,5.4968,-1.35729,1.84865,5.56093
125,-1.34259,1.80875,5.49157,-1.35644,1.84623,5.55678
126,-1.34144,1.80577,5.48632,-1.35562,1.8438,5.55265
127,-1.34029,1.80278,5.48105,-1.35475,1.84139,5.5485
128,-1.33914,1.79976,5.47576,-1.35383,1.83901,5.54431
129,-1.338,1.79672,5.47045,-1.35288,1.83665,5.54009
130,-1.33687,1.79365,5.4651,-1.35192,1.83427,5.53587
131,-1.33574,1.79057,5.45974,-1.35102,1.83186,5.53165
132,-1.33461,1.78746,5.45435,-1.35012,1.82942,5.52741
133,-1.33348,1.78435,5.44894,-1.34923,1.82696,5.52315
134,-1.33234,1.78122,5.44351,-1.34834,1.82448,5.51887
135,-1.33118,1.77809,5.43806,-1.34744,1.82199,5.51456
136,-1.33001,1.77496,5.43259,-1.34656,1.81949,5.51028
137,-1.32882,1.77183,5.42709,-1.34565,1.81701,5.50596
138,-1.32763,1.76869,5.42157,-1.3447,1.81454,5.50162
139,-1.32642,1.76555,5.41602,-1.34373,1.81208,5.49726
140,-1.32521,1.76239,5.41046,-1.34275,1.80961,5.49288
141,-1.32399,1.75922,5.40487,-1.34183,1.8071,5.48851
142,-1.32278,1.75604,5.39926,-1.3409,1.80457,5.48411
143,-1.32156,1.75284,5.39363,-1.33997,1.80203,5.4797
144,-1.32034,1.74962,5.38798,-1.33903,1.79948,5.47526
145,-1.31913,1.74638,5.3823,-1.33808,1.79693,5.4708
146,-1.31791,1.74313,5.3766,-1.33715,1.79436,5.46635
147,-1.31668,1.73987,5.37088,-1.3362,1.7918,5.46188
148,-1.31546,1.73659,5.36514,-1.33521,1.78925,5.45739
149,-1.31422,1.73331,5.35938,-1.33421,1.7867,5.45287
150,-1.31297,1.73002,5.35359,-1.3332,1.78413,5.44833
151,-1.31172,1.72672,5.34778,-1.33226,1.78152,5.4438
152,-1.31045,1.72342,5.34195,-1.3313,1.7789,5.43924
153,-1.30918,1.72011,5.3361,-1.33033,1.77628,5.43467
154,-1.3079,1.71679,5.33023,-1.32934,1.77366,5.43007
155,-1.30662,1.71346,5.32434,-1.32833,1.77104,5.42545
156,-1.30533,1.71011,5.31842,-1.32736,1.76839,5.42084
157,-1.30404,1.70676,5.31248,-1.32636,1.76575,5.4162
158,-1.30274,1.70338,5.30652,-1.32534,1.76311,5.41154
